Post_ID,Category,Author,Likes,Shares,Comments,Post_Length,Date_Posted,Hashtags,Sentiment_Score
POST_43,Fashion,lauren49,3299,836,113,198,12-02-2023,"fight, citizen, ability",0.05
POST_44,Food,padillajoseph,420,67,74,224,13-02-2023,"red, difficult, challenge",0.67
POST_45,Food,mariamorris,907,505,201,79,14-02-2023,"letter, fear, still",-0.93
POST_46,Fashion,murphydebra,4936,27,426,104,15-02-2023,"explain, every, present",-0.46
POST_47,Tech,nathanortiz,4803,948,58,154,16-02-2023,"either, prove, manager",-0.06
POST_48,Food,howardrobert,433,627,385,245,17-02-2023,"home, leave, wide",-0.85
POST_49,Tech,brownjennifer,3927,50,14,246,18-02-2023,"inside, fight, clearly",0.41
POST_50,Tech,dreeves,2602,692,230,90,19-02-2023,"four, actually, seat",-0.21
POST_51,Tech,nathan28,4384,259,104,222,20-02-2023,"rise, evening, compare",-0.45
POST_52,Food,kelleylindsay,4340,590,164,123,21-02-2023,"become, tough, should",-0.99
POST_53,Tech,brownsteven,2775,784,198,268,22-02-2023,"type, everything, evening",0.44
POST_54,Food,sflynn,4084,619,403,257,23-02-2023,"write, participant, particular",0.67
POST_55,Tech,gomezjohn,3343,962,353,207,24-02-2023,"stock, fine, me",-0.21
POST_56,Fashion,patriciajensen,4301,585,34,126,25-02-2023,"collection, together, lay",0.13
POST_57,Fashion,tonya49,4038,686,161,277,26-02-2023,"though, crime, she",-0.54
POST_58,Food,duanewells,972,183,244,134,27-02-2023,"among, occur, guy",0.24
POST_59,Fashion,taylorchan,2965,22,469,222,28-02-2023,"too, hundred, low",-0.98
POST_60,Fashion,fmassey,3000,785,286,153,01-03-2023,"politics, prevent, usually",-0.02
POST_61,Tech,crystalmiller,3096,128,382,222,02-03-2023,"science, worry, at",0.29
POST_62,Food,evanskimberly,1024,290,470,128,03-03-2023,"interest, tend, most",0.84
POST_63,Tech,brownkimberly,1280,831,18,261,04-03-2023,"tree, no, receive",-0.24
POST_64,Tech,cynthia98,2485,500,451,133,05-03-2023,"market, defense, heart",0.53
POST_65,Tech,gho,1864,185,279,222,06-03-2023,"keep, design, general",0.2
POST_66,Tech,sullivanrobert,2984,478,339,232,07-03-2023,"force, pay, site",0.85
POST_67,Tech,danielboone,4983,570,422,236,08-03-2023,"face, chair, face",-0.2
POST_68,Tech,cheryldecker,1413,491,347,182,09-03-2023,"hold, see, one",-0.36
POST_69,Tech,butlermaria,3990,512,181,173,10-03-2023,"test, to, career",0.77
POST_70,Food,vortega,253,642,422,81,11-03-2023,"business, too, level",-0.9
POST_71,Fashion,guzmannathan,210,66,400,55,12-03-2023,"final, claim, effort",-0.73
POST_72,Tech,angelatorres,4537,804,146,143,13-03-2023,"quality, pass, not",-0.84
POST_73,Tech,butlerkevin,818,466,373,75,14-03-2023,"none, surface, certain",0.69
POST_74,Tech,johnsonmelissa,3798,284,175,86,15-03-2023,"step, candidate, fund",-0.98
POST_75,Tech,pglass,2631,600,162,62,16-03-2023,"win, century, moment",0.72
POST_76,Tech,reedkeith,1143,416,415,142,17-03-2023,"receive, security, out",-0.1
POST_77,Tech,kimberly26,4550,99,174,246,18-03-2023,"note, who, education",-0.99
POST_78,Fashion,cbailey,657,188,493,74,19-03-2023,"else, and, movie",-0.2
POST_79,Fashion,jasonmendez,1590,988,46,190,20-03-2023,"action, lead, other",-0.63
POST_80,Tech,michael45,2925,889,255,265,21-03-2023,"cold, focus, adult",0.25
POST_81,Fashion,millergreg,3241,857,447,272,22-03-2023,"meeting, case, age",0.36
POST_82,Food,bradleylowe,1887,387,173,69,23-03-2023,"little, hour, behind",-0.02
POST_83,Tech,amorgan,739,240,102,121,24-03-2023,"quality, true, affect",-0.92
POST_84,Food,curtisjustin,3809,781,120,237,25-03-2023,"time, some, walk",0.31
POST_85,Food,caleb59,2999,730,418,250,26-03-2023,"could, on, provide",0.68
POST_86,Tech,chapmanjessica,2153,416,349,198,27-03-2023,"group, ready, firm",0.44
POST_87,Fashion,barry36,415,917,144,164,28-03-2023,"network, daughter, service",0.66
POST_88,Food,brownsarah,3625,175,41,176,29-03-2023,"PM, ask, report",-0.6
POST_89,Tech,lisa31,4600,386,366,238,30-03-2023,"citizen, computer, thank",0.78
POST_90,Food,jennifergonzalez,4249,470,28,261,31-03-2023,"daughter, situation, response",-0.36
POST_91,Food,manderson,4222,852,453,256,01-04-2023,"finally, return, decision",-0.97
POST_92,Food,qrusso,4375,232,379,75,02-04-2023,"Congress, rate, address",0.69
POST_93,Food,eric27,2428,662,272,103,03-04-2023,"power, citizen, them",0.88
POST_94,Fashion,charlene26,1255,451,464,219,04-04-2023,"vote, check, exist",0.31
POST_95,Food,garciamargaret,3889,276,13,188,05-04-2023,"learn, table, can",-0.54
POST_96,Food,rbailey,2785,228,407,214,06-04-2023,"model, rest, dark",-0.5
POST_97,Food,anneskinner,3397,170,440,174,07-04-2023,"food, quality, democratic",-0.07
POST_98,Fashion,daniellewalker,1725,734,305,60,08-04-2023,"girl, hard, argue",0.8
POST_99,Food,kenneth14,348,212,312,76,09-04-2023,"property, school, activity",-0.7
POST_100,Food,larry90,1006,281,484,143,10-04-2023,"outside, smile, air",0.65
POST_101,Fashion,kjohnson,1164,40,188,132,11-04-2023,"want, process, my",-0.42
POST_102,Fashion,pattersonjodi,2555,121,359,83,12-04-2023,"article, other, group",0.62
POST_103,Fashion,bhenry,1524,226,294,87,13-04-2023,"peace, another, skill",0.84
POST_104,Food,idonovan,4510,293,182,238,14-04-2023,"phone, notice, do",-0.15
POST_105,Fashion,garciasandra,4496,599,351,136,15-04-2023,"character, senior, just",-0.27
POST_106,Fashion,davidberry,3776,266,35,230,16-04-2023,"than, everyone, full",0.6
POST_107,Food,marshallkevin,3521,540,369,114,17-04-2023,"message, itself, exactly",0.06
POST_108,Fashion,craig80,2878,758,36,180,18-04-2023,"research, shake, Congress",0.37
POST_109,Food,goldenshane,2900,827,495,244,19-04-2023,"none, policy, build",0.25
POST_110,Tech,brent97,2556,450,13,205,20-04-2023,"true, close, up",-0.69
POST_111,Fashion,jodi50,3820,448,410,191,21-04-2023,"each, three, add",0.69
POST_112,Tech,harrisonbrittany,3014,755,122,101,22-04-2023,"worry, action, state",-0.61
POST_113,Food,joseph51,4644,60,82,79,23-04-2023,"yard, character, foreign",0.86
POST_114,Fashion,janice10,999,501,158,235,24-04-2023,"sport, present, half",-0.5
POST_115,Food,ujoseph,4653,146,493,231,25-04-2023,"term, ago, management",0.47
POST_116,Tech,jennamoody,2900,685,328,246,26-04-2023,"order, ok, I",-0.43
POST_117,Food,linda41,215,944,101,162,27-04-2023,"water, positive, between",-0.36
POST_118,Fashion,billy87,3536,789,336,192,28-04-2023,"nice, of, stock",-0.38
POST_119,Fashion,rodriguezmarcus,2559,333,82,215,29-04-2023,"every, born, dream",0.5
POST_120,Tech,lgibson,969,880,43,255,30-04-2023,"herself, military, third",0.11
POST_121,Food,pjacobson,163,952,67,191,01-05-2023,"able, top, about",0.77
POST_122,Fashion,greerrobert,3554,890,47,234,02-05-2023,"meeting, professional, drug",-0.39
POST_123,Tech,donald06,1041,141,56,236,03-05-2023,"Congress, news, movie",0.38
POST_124,Fashion,rsmith,3889,43,74,57,04-05-2023,"present, book, too",0.51
POST_125,Fashion,hflores,1308,143,21,121,05-05-2023,"table, sometimes, foreign",-0.7
POST_126,Food,pattersonmichael,3476,864,131,196,06-05-2023,"compare, present, enter",-0.2
POST_127,Fashion,nle,564,332,464,81,07-05-2023,"police, night, treatment",-0.03
POST_128,Food,kevinhull,4854,997,455,144,08-05-2023,"beat, partner, decide",-0.29
POST_129,Fashion,audreyhernandez,3246,496,301,206,09-05-2023,"compare, drop, own",-0.36
POST_130,Tech,josephgray,4484,395,442,90,10-05-2023,"blood, point, heavy",0.37
POST_131,Fashion,vcooper,2634,54,417,124,11-05-2023,"future, imagine, act",-0.57
POST_132,Food,christina87,117,306,266,94,12-05-2023,"option, improve, American",0.42
POST_133,Food,djackson,1646,869,286,62,13-05-2023,"yes, too, short",0.87
POST_134,Tech,boydjessica,4528,422,394,204,14-05-2023,"then, book, carry",0.13
POST_135,Fashion,tiffany58,68,416,119,68,15-05-2023,"protect, reason, town",0.22
POST_136,Fashion,heathertaylor,2780,672,245,203,16-05-2023,"citizen, between, often",-0.86
POST_137,Tech,alexander21,3571,796,55,102,17-05-2023,"several, economy, others",0.73
POST_138,Fashion,romerogary,622,324,37,228,18-05-2023,"prepare, we, have",-0.43
POST_139,Fashion,gilbert14,2308,709,244,214,19-05-2023,"class, finish, likely",0.23
POST_140,Food,mariahorn,2952,670,20,186,20-05-2023,"move, and, event",0.96
POST_141,Fashion,mary58,700,79,109,269,21-05-2023,"treat, government, down",0.19
POST_142,Fashion,cwillis,2637,30,93,273,22-05-2023,"whose, get, yeah",0.45
POST_143,Tech,david76,3312,984,393,229,23-05-2023,"walk, effect, between",-0.11
POST_144,Tech,dpatel,1388,111,409,231,24-05-2023,"thank, share, student",-0.88
POST_145,Food,kathy12,3684,557,474,52,25-05-2023,"collection, room, Democrat",0.6
POST_146,Fashion,olsonmonica,2877,864,135,145,26-05-2023,"carry, let, husband",-0.93
POST_147,Fashion,ihammond,2267,716,230,246,27-05-2023,"grow, among, through",0.4
POST_148,Fashion,qwashington,3589,563,7,185,28-05-2023,"purpose, himself, in",-0.95
POST_149,Food,barrettcory,1087,649,443,63,29-05-2023,"participant, table, pass",0.72
POST_150,Food,michellecamacho,4433,471,327,169,30-05-2023,"perform, oil, surface",-0.68
POST_151,Tech,tterry,4028,73,374,180,31-05-2023,"left, from, life",0.03
POST_152,Food,patrickandersen,3011,552,289,201,01-06-2023,"six, identify, discussion",0.19
POST_153,Fashion,sheena72,3276,478,250,62,02-06-2023,"door, man, perhaps",-0.08
POST_154,Fashion,ericnguyen,1148,588,399,220,03-06-2023,"one, offer, throughout",-0.32
POST_155,Food,emurillo,2374,386,360,206,04-06-2023,"save, hand, it",-0.06
POST_156,Fashion,matthewkelly,989,698,396,121,05-06-2023,"eye, buy, police",-0.38
POST_157,Fashion,janderson,3766,881,86,228,06-06-2023,"energy, quite, property",-0.12
POST_158,Food,simonstephanie,3464,563,203,219,07-06-2023,"hope, research, peace",-0.28
POST_159,Food,robinsoncarol,1498,929,218,208,08-06-2023,"build, when, perform",0.13
POST_160,Fashion,knightdaniel,620,432,405,240,09-06-2023,"send, information, generation",-0.52
POST_161,Fashion,washingtoneric,2954,411,479,203,10-06-2023,"a, likely, yes",0.98
POST_162,Fashion,jessesimpson,2555,466,240,195,11-06-2023,"space, surface, role",0
POST_163,Tech,bmiller,967,598,410,131,12-06-2023,"need, early, others",-0.61
POST_164,Tech,martinezjennifer,1924,620,319,106,13-06-2023,"resource, it, foot",-0.05
POST_165,Tech,monica83,4978,991,257,56,14-06-2023,"black, sign, decide",0.73
POST_166,Food,jonesrebecca,1728,908,108,161,15-06-2023,"expert, modern, teacher",-0.96
POST_167,Tech,salazardebra,665,736,255,279,16-06-2023,"Republican, support, significant",0.36
POST_168,Food,chelsea46,4551,993,480,97,17-06-2023,"long, buy, yourself",0.1
POST_169,Food,hmueller,1799,992,281,129,18-06-2023,"see, say, good",-0.66
POST_170,Tech,jbrown,3875,247,219,168,19-06-2023,"often, view, war",0.63
POST_171,Tech,deanmatthew,4238,580,82,169,20-06-2023,"prevent, dinner, right",-0.26
POST_172,Tech,duartetimothy,2527,119,106,109,21-06-2023,"local, assume, strategy",-0.41
POST_173,Fashion,baileyandrew,4799,66,68,82,22-06-2023,"floor, six, start",0.66
POST_174,Tech,tlogan,3555,572,96,164,23-06-2023,"heavy, low, hot",0.28
POST_175,Fashion,bryan19,3525,955,211,177,24-06-2023,"realize, than, film",0.8
POST_176,Food,taylorbrittany,4579,326,285,52,25-06-2023,"than, throw, drug",0.26
POST_177,Fashion,bentondaniel,1185,919,236,279,26-06-2023,"past, service, population",0.48
POST_178,Tech,walkerroger,4050,702,7,53,27-06-2023,"sure, magazine, expert",0.67
POST_179,Food,conwaybeth,424,469,293,149,28-06-2023,"do, be, author",-0.89
POST_180,Food,ajackson,256,492,188,53,29-06-2023,"partner, point, risk",0.55
POST_181,Food,cschmidt,4925,700,80,91,30-06-2023,"couple, none, ground",0.23
POST_182,Fashion,jessicamolina,1369,662,107,58,01-07-2023,"all, surface, free",-0.86
POST_183,Tech,tracy40,1191,285,320,100,02-07-2023,"knowledge, over, for",0.02
POST_184,Food,vwalker,4677,955,66,194,03-07-2023,"against, interview, street",-0.84
POST_185,Food,dixonjacqueline,2740,913,173,194,04-07-2023,"born, their, sense",0.47
POST_186,Food,joshuawallace,3305,607,345,146,05-07-2023,"action, onto, top",0.09
POST_187,Fashion,stevenparker,139,311,350,69,06-07-2023,"produce, management, group",0.91
POST_188,Fashion,walkersarah,4158,308,327,191,07-07-2023,"skill, yard, room",-0.63
POST_189,Tech,cramos,3070,774,42,71,08-07-2023,"several, improve, benefit",0.21
POST_190,Fashion,gsimmons,1907,96,186,229,09-07-2023,"level, treat, college",-0.58
POST_191,Food,jonathanpierce,854,964,301,76,10-07-2023,"structure, western, collection",0.23
POST_192,Tech,jordanjoshua,994,112,199,92,11-07-2023,"five, I, account",0.45
POST_193,Food,michaelshort,2839,987,380,180,12-07-2023,"soon, number, short",0.44
POST_194,Food,christopherwood,3925,636,418,265,13-07-2023,"long, young, true",0.63
POST_195,Fashion,valerietucker,1660,455,38,143,14-07-2023,"particularly, mind, class",0.71
POST_196,Tech,fsnyder,2973,462,219,57,15-07-2023,"leader, price, southern",-0.85
POST_197,Fashion,warren58,3932,947,306,135,16-07-2023,"piece, painting, staff",-0.31
POST_198,Fashion,strongbriana,3271,131,3,138,17-07-2023,"color, age, force",0.37
POST_199,Tech,ehicks,4441,929,120,187,18-07-2023,"responsibility, defense, and",0
POST_200,Food,jacquelinebrown,4785,964,335,162,19-07-2023,"resource, source, many",-0.62
POST_201,Food,johnsonevan,2437,928,76,206,20-07-2023,"example, financial, world",0.11
POST_202,Tech,ftorres,4773,120,467,217,21-07-2023,"defense, special, her",-0.19
POST_203,Food,cynthiarobles,991,196,178,242,22-07-2023,"position, officer, popular",-0.22
POST_204,Tech,reyesfrederick,4975,805,132,70,23-07-2023,"add, hot, believe",0.62
POST_205,Tech,bradbrown,2616,481,310,201,24-07-2023,"production, system, him",-0.18
POST_206,Fashion,davistanya,1025,633,228,250,25-07-2023,"doctor, star, charge",-0.95
POST_207,Tech,michael43,1004,793,275,237,26-07-2023,"happy, short, high",-0.88
POST_208,Fashion,victor62,1312,896,151,203,27-07-2023,"section, hear, meeting",0.71
POST_209,Food,christian24,993,771,163,58,28-07-2023,"difference, beyond, have",0.92
POST_210,Food,xharris,2252,38,289,197,29-07-2023,"month, himself, some",0.38
POST_211,Food,srich,3377,565,377,233,30-07-2023,"picture, suddenly, social",-0.27
POST_212,Food,louis86,4324,511,108,276,31-07-2023,"as, Republican, age",0.88
POST_213,Fashion,richard30,2309,473,125,85,01-08-2023,"land, indicate, current",0.33
POST_214,Food,lewiskristy,1878,160,239,85,02-08-2023,"affect, form, source",0.69
POST_215,Tech,michaelellis,1307,288,309,122,03-08-2023,"industry, campaign, letter",0.53
POST_216,Tech,amy23,514,199,417,199,04-08-2023,"interview, miss, hard",-0.24
POST_217,Tech,melissa99,3344,787,466,50,05-08-2023,"surface, put, three",-0.04
POST_218,Fashion,ejones,1280,527,400,118,06-08-2023,"test, Congress, example",-0.63
POST_219,Food,jbrown,2704,916,388,250,07-08-2023,"pretty, office, impact",-0.42
POST_220,Food,ipeters,934,684,344,86,08-08-2023,"young, might, pressure",0.56
POST_221,Food,simstheresa,3855,502,145,279,09-08-2023,"time, grow, police",0.79
POST_222,Fashion,mckaymargaret,3906,247,251,260,10-08-2023,"man, itself, there",0.45
POST_223,Tech,derek70,3185,382,182,121,11-08-2023,"practice, dark, writer",-0.07
POST_224,Tech,lambertlaura,974,217,308,156,12-08-2023,"player, card, result",-0.83
POST_225,Food,phillipsdavid,4639,86,305,145,13-08-2023,"travel, focus, win",-0.89
POST_226,Tech,judithnicholson,1596,81,71,190,14-08-2023,"realize, girl, close",-0.25
POST_227,Tech,osutton,1144,61,218,133,15-08-2023,"enough, measure, college",-0.07
POST_228,Fashion,derrickbrown,2461,798,206,277,16-08-2023,"ready, whose, experience",0.22
POST_229,Fashion,kimberlycook,2667,499,172,92,17-08-2023,"door, people, responsibility",-0.99
POST_230,Fashion,courtneycastro,812,41,140,86,18-08-2023,"explain, sea, why",0.98
POST_231,Fashion,lopezvictoria,2373,11,271,271,19-08-2023,"investment, instead, accept",-0.27
POST_232,Food,jason90,4195,832,213,251,20-08-2023,"score, foreign, thus",0.7
POST_233,Fashion,orivera,2825,745,467,272,21-08-2023,"reflect, what, develop",0.07
POST_234,Tech,ericahenderson,4709,840,268,74,22-08-2023,"chair, behavior, indeed",-0.74
POST_235,Food,christian49,4928,642,19,270,23-08-2023,"debate, look, realize",0.6
POST_236,Tech,michael06,3205,114,65,265,24-08-2023,"city, word, cover",0.42
POST_237,Tech,jessejohnson,4020,217,482,198,25-08-2023,"Mr, since, benefit",0.05
POST_238,Tech,jennifer72,2090,648,302,218,26-08-2023,"create, laugh, partner",0.03
POST_239,Fashion,christopherwallace,633,105,146,122,27-08-2023,"off, girl, weight",-0.83
POST_240,Fashion,lpace,4381,690,428,219,28-08-2023,"then, nothing, source",0.31
POST_241,Food,lesterelizabeth,2153,527,164,91,29-08-2023,"skill, begin, same",0.82
POST_242,Food,holmeskimberly,1992,471,377,51,30-08-2023,"yet, two, to",-0.81
POST_243,Fashion,tiffanystevens,4505,753,309,245,31-08-2023,"everyone, pick, outside",-0.47
POST_244,Tech,nicholas61,159,845,5,185,01-09-2023,"speech, less, light",0.8
POST_245,Food,wayne00,241,892,13,145,02-09-2023,"bar, morning, system",-0.43
POST_246,Fashion,patrick21,953,386,131,110,03-09-2023,"sometimes, stage, allow",0.31
POST_247,Fashion,daniel23,911,225,341,63,04-09-2023,"size, wear, learn",0.07
POST_248,Fashion,adamsjeffrey,1133,480,242,162,05-09-2023,"real, thank, debate",0.19
POST_249,Tech,jenniferscott,699,753,438,126,06-09-2023,"billion, mind, popular",-0.17
POST_250,Fashion,kathleen37,4184,407,230,70,07-09-2023,"against, investment, general",-0.4
POST_251,Fashion,katelyn89,3661,456,227,201,08-09-2023,"spring, people, down",-0.9
POST_252,Fashion,mirandaturner,686,652,161,227,09-09-2023,"before, goal, such",0.49
POST_253,Fashion,mitchellkimberly,1086,897,282,259,10-09-2023,"yeah, administration, test",0.49
POST_254,Food,katherine77,4181,710,262,222,11-09-2023,"very, few, hard",0.34
POST_255,Food,flemingamanda,2198,623,130,241,12-09-2023,"under, inside, coach",0.29
POST_256,Fashion,gibsonlindsey,3915,638,430,113,13-09-2023,"black, send, actually",-0.51
POST_257,Tech,diane95,3207,20,224,203,14-09-2023,"push, number, customer",-0.96
POST_258,Food,wrightbrian,3637,658,257,209,15-09-2023,"too, product, teacher",0.62
POST_259,Fashion,michelerogers,3344,600,233,106,16-09-2023,"change, our, single",-0.02
POST_260,Food,shorttom,4311,814,335,168,17-09-2023,"statement, meeting, suddenly",-0.39
POST_261,Food,wongtheresa,2480,917,408,230,18-09-2023,"key, nothing, rule",-0.8
POST_262,Tech,kenneth27,1929,202,315,210,19-09-2023,"because, address, goal",-0.87
POST_263,Fashion,christopher41,4016,416,462,101,20-09-2023,"popular, window, police",-0.3
POST_264,Fashion,torresalice,3763,415,23,144,21-09-2023,"anything, someone, place",0.61
POST_265,Tech,scottromero,4176,447,270,195,22-09-2023,"air, certainly, think",0.84
POST_266,Tech,jamie78,4156,511,94,212,23-09-2023,"reflect, long, board",0.79
POST_267,Fashion,melanie24,2061,84,141,189,24-09-2023,"reality, short, letter",0.84
POST_268,Fashion,simsnathan,3423,166,181,228,25-09-2023,"add, space, street",0.82
POST_269,Tech,kfisher,2193,383,205,138,26-09-2023,"pick, seek, current",0.05
POST_270,Food,sharonthomas,2550,467,389,272,27-09-2023,"clear, mention, down",-0.56
POST_271,Food,griffinbradley,4631,71,461,59,28-09-2023,"fine, event, list",0.6
POST_272,Tech,randy13,1339,809,80,101,29-09-2023,"mother, item, behavior",-0.57
POST_273,Food,brianwilson,1497,996,273,83,30-09-2023,"real, catch, either",-0.47
POST_274,Tech,tiffanymcdaniel,3249,520,275,164,01-10-2023,"star, never, how",-0.53
POST_275,Food,robertalexander,1993,792,370,244,02-10-2023,"education, third, enjoy",0.03
POST_276,Food,andrew52,3233,472,445,216,03-10-2023,"explain, easy, quickly",-0.36
POST_277,Fashion,cunninghamheather,3266,992,464,185,04-10-2023,"face, not, her",-0.69
POST_278,Fashion,ybond,3186,257,207,174,05-10-2023,"put, until, street",-0.09
POST_279,Food,bradley49,3368,274,295,273,06-10-2023,"fall, son, truth",0.75
POST_280,Food,hernandezwillie,2832,749,38,206,07-10-2023,"fine, hair, program",0.14
POST_281,Fashion,rachel04,1040,19,435,199,08-10-2023,"market, poor, training",0.76
POST_282,Fashion,amandabrown,4970,489,287,261,09-10-2023,"note, just, moment",-0.61
POST_283,Fashion,paula14,2203,744,123,247,10-10-2023,"individual, value, onto",-0.67
POST_284,Tech,shannon15,275,489,363,238,11-10-2023,"day, lot, sign",0.15
POST_285,Food,taylor05,826,732,456,92,12-10-2023,"amount, ago, news",-0.07
POST_286,Fashion,bryan11,2887,325,282,226,13-10-2023,"investment, physical, herself",0.32
POST_287,Food,ddiaz,737,528,365,78,14-10-2023,"movement, century, candidate",0.59
POST_288,Tech,jmarshall,579,891,179,155,15-10-2023,"store, kind, everybody",0.5
POST_289,Tech,treynolds,3492,88,96,169,16-10-2023,"product, fish, recent",0.88
POST_290,Fashion,christopherrogers,2203,485,190,130,17-10-2023,"customer, eat, sure",-0.2
POST_291,Tech,kvillarreal,1344,707,73,80,18-10-2023,"four, performance, main",-0.59
POST_292,Food,ihampton,1576,349,446,230,19-10-2023,"friend, product, when",0.1
POST_293,Fashion,yevans,4824,83,272,211,20-10-2023,"history, must, attention",-0.78
POST_294,Food,andrew19,2946,386,496,177,21-10-2023,"would, second, clearly",-0.42
POST_295,Food,hernandezvictor,3153,86,48,87,22-10-2023,"across, summer, power",-0.58
POST_296,Tech,nicholas02,2490,306,483,234,23-10-2023,"worry, able, writer",-0.21
POST_297,Tech,brooksthomas,4185,849,336,150,24-10-2023,"best, water, these",-0.78
POST_298,Tech,mberry,3852,153,209,181,25-10-2023,"team, research, include",-0.94
POST_299,Tech,hudsonmichael,894,439,115,179,26-10-2023,"outside, today, resource",0.31
POST_300,Tech,nathan26,496,739,22,61,27-10-2023,"center, the, ready",0.22
POST_301,Fashion,sextondanielle,3965,959,97,84,28-10-2023,"alone, garden, school",0.42
POST_302,Food,kjones,3159,263,327,247,29-10-2023,"participant, machine, life",0.32
POST_303,Food,bfrazier,1284,976,396,159,30-10-2023,"improve, man, on",-0.77
POST_304,Food,cdiaz,276,734,406,121,31-10-2023,"receive, quite, my",-0.42
POST_305,Food,annejenkins,4193,420,312,198,01-11-2023,"upon, price, today",-0.74
POST_306,Tech,elaine91,3009,492,189,159,02-11-2023,"enter, reflect, staff",0.69
POST_307,Food,williesmith,1880,632,181,110,03-11-2023,"director, bad, organization",0.49
POST_308,Fashion,zbond,3829,992,147,212,04-11-2023,"international, face, occur",-0.6
POST_309,Fashion,simondaniel,236,410,341,97,05-11-2023,"those, create, establish",-0.32
POST_310,Food,michaelsanchez,2927,172,494,192,06-11-2023,"approach, else, make",0.93
POST_311,Food,smcneil,2585,3,435,120,07-11-2023,"report, sister, week",0.19
POST_312,Fashion,robertobrien,1982,853,22,192,08-11-2023,"simply, machine, over",0.6
POST_313,Fashion,hsherman,2974,639,104,183,09-11-2023,"find, worker, impact",-0.47
POST_314,Tech,holmescrystal,898,985,162,258,10-11-2023,"author, business, door",-0.58
POST_315,Fashion,tracimartin,2082,991,66,117,11-11-2023,"trial, baby, enough",0.57
